"clc","lu","desc0","nbs_code","hazard"
37,421,"Salt marshes","WF-8","Drought"
37,421,"Salt marshes","ES-12","Other"
37,421,"Salt marshes","ES-12","Erosion"
37,421,"Salt marshes","WF-5","Heat"
37,421,"Salt marshes","WF-5","Other"
38,422,"Salines","WF-7","Other"
39,423,"Intertidal flats","FRI-5","Other"
39,423,"Intertidal flats","FRI-5","Erosion"
39,423,"Intertidal flats","FRI-5","Sea level rise"
39,423,"Intertidal flats","FRI-5","Drought"
39,423,"Intertidal flats","FRI-5","Floods"
40,511,"Water courses","EF-1","Erosion"
40,511,"Water courses","PO-2","Floods"
40,511,"Water courses","FRI-5","Sea level rise"
40,511,"Water courses","WF-7","Other"
40,511,"Water courses","EF-3","Floods"
40,511,"Water courses","EF-3","Drought"
40,511,"Water courses","PO-2","Other"
40,511,"Water courses","ES-24","Other"
40,511,"Water courses","FRI-5","Drought"
40,511,"Water courses","FRI-5","Floods"
40,511,"Water courses","EF-2","Flood"
40,511,"Water courses","FRI-5","Erosion"
40,511,"Water courses","EF-1","Other"
40,511,"Water courses","ES-24","Floods"
40,511,"Water courses","ES-24","Drought"
40,511,"Water courses","ES-24","Heat"
40,511,"Water courses","CA-2","Other"
40,511,"Water courses","FRI-5","Other"
40,511,"Water courses","WF-8","Other"
40,511,"Water courses","WF-1","Other"
40,511,"Water courses","ES-20","Other"
40,511,"Water courses","ES-20","Erosion"
40,511,"Water courses","ES-20","Floods"
40,511,"Water courses","ES-20","Heat"
40,511,"Water courses","CA-2","Floods"
40,511,"Water courses","PO-2","Drought"
40,511,"Water courses","FRI-1","Drought"
40,511,"Water courses","WF-19","Heat"
40,511,"Water courses","WF-19","Drought"
40,511,"Water courses","WF-19","Other"
40,511,"Water courses","FRI-1","Other"
40,511,"Water courses","ES-16","Erosion"
40,511,"Water courses","ES-16","Floods"
40,511,"Water courses","NA-4","Floods"
40,511,"Water courses","WF-10","Drought"
40,511,"Water courses","PO-2","Heat"
40,511,"Water courses","DK-1","Floods"
40,511,"Water courses","DK-1","Other"
40,511,"Water courses","WF-20","Drought"
40,511,"Water courses","WF-20","Other"
40,511,"Water courses","CA-2","Heat"
40,511,"Water courses","WF-8","Floods"
40,511,"Water courses","WF-8","Drought"
40,511,"Water courses","NA-9","Erosion"
40,511,"Water courses","NA-8","Erosion"
40,511,"Water courses","WF-21","Drought"
40,511,"Water courses","WF-21","Floods"
40,511,"Water courses","WF-21","Other"
40,511,"Water courses","NA-3","Other"
40,511,"Water courses","WF-13","Other"
40,511,"Water courses","CA-2","Drought"
40,511,"Water courses","WF-10","Floods"
40,511,"Water courses","ES-4","Other"
40,511,"Water courses","NA-17","Erosion"
40,511,"Water courses","NA-17","Floods"
40,511,"Water courses","FRI-2","Other"
40,511,"Water courses","FRI-2","Erosion"
40,511,"Water courses","CA-1","Floods"
40,511,"Water courses","FRI-2","Drought"
40,511,"Water courses","ES-4","Fires"
40,511,"Water courses","WF-3","Drought"
40,511,"Water courses","WF-3","Floods"
40,511,"Water courses","WF-3","Erosion"
40,511,"Water courses","NA-1","Heat"
40,511,"Water courses","NA-1","Drought"
40,511,"Water courses","NA-17","Drought"
40,511,"Water courses","NA-17","Heat"
40,511,"Water courses","EF-1","Drought"
40,511,"Water courses","ES-11","Erosion"
40,511,"Water courses","EF-1","Floods"
40,511,"Water courses","ES-11","Floods"
40,511,"Water courses","EF-5","Erosion"
40,511,"Water courses","EF-4","Other"
40,511,"Water courses","NA-1","Floods"
40,511,"Water courses","NA-1","Other"
41,512,"Water bodies","ES-9","Other"
41,512,"Water bodies","ES-7","Erosion"
41,512,"Water bodies","ES-7","Flood"
41,512,"Water bodies","WF-14","Other"
41,512,"Water bodies","ES-2","Other"
41,512,"Water bodies","ES-2","Erosion"
41,512,"Water bodies","ES-14","Other"
41,512,"Water bodies","ES-14","Erosion"
41,512,"Water bodies","FRI-5","Sea level rise"
41,512,"Water bodies","EF-1","Other"
41,512,"Water bodies","EF-1","Erosion"
41,512,"Water bodies","EF-1","Floods"
41,512,"Water bodies","FRI-5","Drought"
41,512,"Water bodies","FRI-5","Floods"
41,512,"Water bodies","FRI-5","Erosion"
41,512,"Water bodies","FRI-5","Other"
41,512,"Water bodies","EF-1","Drought"
41,512,"Water bodies","EF-4","Other"
41,512,"Water bodies","EF-3","Floods"
41,512,"Water bodies","EF-3","Drought"
41,512,"Water bodies","CA-1","Floods"
42,521,"Coastal lagoons","ES-12","Erosion"
42,521,"Coastal lagoons","ES-12","Other"
42,521,"Coastal lagoons","ES-13","Heat"
42,521,"Coastal lagoons","ES-13"," Sea level rise"
42,521,"Coastal lagoons","ES-13"," Drought"
42,521,"Coastal lagoons","ES-13","Other"
42,521,"Coastal lagoons","ES-15","Other"
43,522,"Estuaries","ES-21","Sea level rise"
43,522,"Estuaries","ES-21","Floods"
43,522,"Estuaries","ES-21","Erosion"
43,522,"Estuaries","CA-1","Floods"
44,523,"Sea and ocean","CA-1","Floods"
44,523,"Sea and ocean","FRI-5","Drought"
44,523,"Sea and ocean","FRI-5","Floods"
44,523,"Sea and ocean","FRI-5","Other"
44,523,"Sea and ocean","FRI-5","Erosion"
44,523,"Sea and ocean","FRI-5","Sea level rise"
