clc,lu,desc0,nbs_code,hazard,landscape_case
25,313,Mixed forest,CA-2,Drought,
25,313,Mixed forest,ES-18,Other,
25,313,Mixed forest,ES-18,Erosion,
25,313,Mixed forest,ES-18,Flood,
25,313,Mixed forest,ES-18,Drought,
25,313,Mixed forest,ES-18,Heat,
25,313,Mixed forest,ES-17,Erosion,
25,313,Mixed forest,CA-2,Flood,
25,313,Mixed forest,CA-2,Heat,
25,313,Mixed forest,CA-2,Other,
25,313,Mixed forest,NA-9,Erosion,
26,321,Natural grasslands,ES-1,Other,Mountainous
26,321,Natural grasslands,NA-12,Heat,Mountainous
26,321,Natural grasslands,FRI-2,Drought,Mountainous
26,321,Natural grasslands,FRI-2,Erosion,Mountainous
26,321,Natural grasslands,FRI-2,Other,Mountainous
26,321,Natural grasslands,NA-12,Drought,Mountainous
26,321,Natural grasslands,WF-10,Drought,Mountainous
26,321,Natural grasslands,NA-12,Other,Mountainous
26,321,Natural grasslands,WF-10,Flood,Mountainous
26,321,Natural grasslands,WF-8,Drought,Mountainous
26,321,Natural grasslands,EF-3,Flood,Mountainous
26,321,Natural grasslands,WF-5,Other,Mountainous
26,321,Natural grasslands,WF-5,Heat,Mountainous
26,321,Natural grasslands,EF-3,Drought,Mountainous
26,321,Natural grasslands,FRI-5,Sea level rise,Mountainous
26,321,Natural grasslands,FRI-5,Drought,Mountainous
26,321,Natural grasslands,FRI-5,Flood,Mountainous
26,321,Natural grasslands,FRI-5,Erosion,Mountainous
26,321,Natural grasslands,FRI-5,Other,Mountainous
26,321,Natural grasslands,DK-2,Other,Mountainous
26,321,Natural grasslands,WF-8,Flood,Mountainous
26,321,Natural grasslands,NA-5,Other,Mountainous
26,321,Natural grasslands,WF-8,Other,Mountainous
26,321,Natural grasslands,DK-2,Flood,Mountainous
26,321,Natural grasslands,EF-2,Flood,Mountainous
26,321,Natural grasslands,WF-21,Other,Mountainous
26,321,Natural grasslands,WF-21,Flood,Mountainous
26,321,Natural grasslands,ES-19,Fires,Mountainous
26,321,Natural grasslands,ES-19,Erosion,Mountainous
26,321,Natural grasslands,NA-3,Other,Mountainous
26,321,Natural grasslands,ES-2,Erosion,Mountainous
26,321,Natural grasslands,ES-2,Other,Mountainous
26,321,Natural grasslands,NA-2,Erosion,Mountainous
26,321,Natural grasslands,WF-21,Drought,Mountainous
26,321,Natural grasslands,ES-14,Erosion,Mountainous
26,321,Natural grasslands,ES-14,Other,Mountainous
26,321,Natural grasslands,ES-15,Other,Mountainous
27,322,Moors and heathland,ES-19,Erosion,
27,322,Moors and heathland,EF-3,Drought,
27,322,Moors and heathland,ES-14,Other,
27,322,Moors and heathland,EF-3,Flood,
27,322,Moors and heathland,NA-4,Flood,
27,322,Moors and heathland,ES-19,Fires,
27,322,Moors and heathland,ES-14,Erosion,
29,324,Transitional woodland-shrub,WF-1,Other,
29,324,Transitional woodland-shrub,ES-4,Other,
29,324,Transitional woodland-shrub,WF-14,Other,
29,324,Transitional woodland-shrub,EF-4,Other,
29,324,Transitional woodland-shrub,ES-4,Fires,
30,331,Beaches,WF-5,Heat,Coastal
30,331,Beaches,FRI-5,Drought,Coastal
30,331,Beaches,FRI-5,Sea level rise,Coastal
30,331,Beaches,CA-1,Flood,Coastal
30,331,Beaches,WF-5,Other,Coastal
30,331,Beaches,NA-2,Erosion,Coastal
30,331,Beaches,FRI-5,Other,Coastal
30,331,Beaches,FRI-5,Erosion,Coastal
30,331,Beaches,FRI-5,Flood,Coastal
31,332,Bare rocks,NA-7,Heat,
31,332,Bare rocks,ES-4,Fires,
31,332,Bare rocks,FRI-5,Flood,
31,332,Bare rocks,FRI-5,Erosion,
31,332,Bare rocks,FRI-5,Other,
31,332,Bare rocks,ES-4,Other,
31,332,Bare rocks,FRI-5,Sea level rise,
31,332,Bare rocks,FRI-5,Drought,
32,333,Sparsely vegetated areas,ES-6,Drought,
32,333,Sparsely vegetated areas,ES-1,Other,
32,333,Sparsely vegetated areas,ES-4,Fires,
32,333,Sparsely vegetated areas,ES-4,Other,
32,333,Sparsely vegetated areas,ES-6,Fires,
32,333,Sparsely vegetated areas,ES-6,Erosion,
32,333,Sparsely vegetated areas,ES-6,Other,
